Bartok - Solo Violin Sonata mvt 4-001.png,"1"
Bartok - Solo Violin Sonata mvt 4-002.png,"8"
Bartok - Solo Violin Sonata mvt 4-003.png,"14"
Bartok - Solo Violin Sonata mvt 4-004.png,"19"
Bartok - Solo Violin Sonata mvt 4-005.png,"24"
Bartok - Solo Violin Sonata mvt 4-006.png,"28"
Bartok - Solo Violin Sonata mvt 4-007.png,"33"
Bartok - Solo Violin Sonata mvt 4-008.png,"39"
Bartok - Solo Violin Sonata mvt 4-009.png,"44"
Bartok - Solo Violin Sonata mvt 4-010.png,"50"
Bartok - Solo Violin Sonata mvt 4-013.png,"65"
Bartok - Solo Violin Sonata mvt 4-014.png,"71"
Bartok - Solo Violin Sonata mvt 4-015.png,"77"
Bartok - Solo Violin Sonata mvt 4-016.png,"84"
Bartok - Solo Violin Sonata mvt 4-017.png,"89"
Bartok - Solo Violin Sonata mvt 4-018.png,"94"
Bartok - Solo Violin Sonata mvt 4-019.png,"103"
Bartok - Solo Violin Sonata mvt 4-020.png,"111"
Bartok - Solo Violin Sonata mvt 4-021.png,"119"
Bartok - Solo Violin Sonata mvt 4-022.png,"126"
Bartok - Solo Violin Sonata mvt 4-023.png,"133"
Bartok - Solo Violin Sonata mvt 4-024.png,"141"
Bartok - Solo Violin Sonata mvt 4-025.png,"146"
Bartok - Solo Violin Sonata mvt 4-026.png,"153"
Bartok - Solo Violin Sonata mvt 4-027.png,"161"
Bartok - Solo Violin Sonata mvt 4-028.png,"169"
Bartok - Solo Violin Sonata mvt 4-029.png,"176"
Bartok - Solo Violin Sonata mvt 4-030.png,"184"
Bartok - Solo Violin Sonata mvt 4-031.png,"193"
Bartok - Solo Violin Sonata mvt 4-032.png,"203"
Bartok - Solo Violin Sonata mvt 4-033.png,"208"
Bartok - Solo Violin Sonata mvt 4-034.png,"213"
Bartok - Solo Violin Sonata mvt 4-035.png,"217"
Bartok - Solo Violin Sonata mvt 4-036.png,"222"
Bartok - Solo Violin Sonata mvt 4-037.png,"229"
Bartok - Solo Violin Sonata mvt 4-038.png,"234"
Bartok - Solo Violin Sonata mvt 4-039.png,"239"
Bartok - Solo Violin Sonata mvt 4-040.png,"244"
Bartok - Solo Violin Sonata mvt 4-041.png,"248"
Bartok - Solo Violin Sonata mvt 4-042.png,"254"
Bartok - Solo Violin Sonata mvt 4-043.png,"265"
Bartok - Solo Violin Sonata mvt 4-044.png,"274"
Bartok - Solo Violin Sonata mvt 4-045.png,"283"
Bartok - Solo Violin Sonata mvt 4-046.png,"292"
Bartok - Solo Violin Sonata mvt 4-047.png,"300"
Bartok - Solo Violin Sonata mvt 4-048.png,"310"
Bartok - Solo Violin Sonata mvt 4-049.png,"318"
Bartok - Solo Violin Sonata mvt 4-050.png,"326"
Bartok - Solo Violin Sonata mvt 4-051.png,"334"
Bartok - Solo Violin Sonata mvt 4-052.png,"340"
Bartok - Solo Violin Sonata mvt 4-053.png,"345"
Bartok - Solo Violin Sonata mvt 4-054.png,"350"
Bartok - Solo Violin Sonata mvt 4-055.png,"358"
Bartok - Solo Violin Sonata mvt 4-056.png,"366"
Bartok - Solo Violin Sonata mvt 4-057.png,"373"
Bartok - Solo Violin Sonata mvt 4-058.png,"380"
Bartok - Solo Violin Sonata mvt 4-059.png,"387"
Bartok - Solo Violin Sonata mvt 4-060.png,"392"
Bartok - Solo Violin Sonata mvt 4-061.png,"397"
